concrete_vs_abstract,rich_vs_poor_details,specific_vs_general,recAgnPairId,memType
0.8,0.7,0.6,,imagined
0.8,0.7,0.6,,recalled
0.8,0.7,0.6,,imagined
0.8,0.7,0.6,,recalled
0.6,0.5,0.4,,imagined
0.7,0.8,0.7,,recalled
0.8,0.7,0.7,,imagined
0.7,0.6,0.5,,recalled
0.8,0.9,0.8,,imagined
0.8,0.7,0.6,304SM51WA4QG34IRAVFYVE1S8XNSBV,retold
0.8,0.7,0.6,304SM51WA4QG34IRAVFYVE1S8XNSBV,recalled
0.7,0.6,0.5,,imagined
0.8,0.9,0.7,304SM51WA4QG34IRAVFYVE1SAOBSB3,retold
0.6,0.5,0.4,304SM51WA4QG34IRAVFYVE1SAOBSB3,recalled
0.7,0.6,0.5,,imagined
0.7,0.8,0.7,,recalled
0.8,0.7,0.6,,imagined
0.8,0.7,0.6,,imagined
0.6,0.5,0.5,308Q0PEVB9Z8LX0Y7Z7O060F6NK9IJ,retold
0.8,0.7,0.6,308Q0PEVB9Z8LX0Y7Z7O060F6NK9IJ,recalled
0.8,0.7,0.8,,imagined
0.9,0.8,0.9,308Q0PEVB9Z8LX0Y7Z7O060FETEI96,retold
0.9,0.8,0.9,308Q0PEVB9Z8LX0Y7Z7O060FETEI96,recalled
0.7,0.6,0.5,,imagined
0.7,0.8,0.7,,recalled
0.8,0.7,0.6,,imagined
0.7,0.6,0.5,308XBLVESJQ42PIEV6FT54WWN37BRA,retold
0.8,0.7,0.6,308XBLVESJQ42PIEV6FT54WWN37BRA,recalled
0.8,0.7,0.6,,imagined
0.8,0.7,0.6,,recalled
0.8,0.7,0.6,,imagined
0.9,0.8,0.85,308XBLVESJQ42PIEV6FT54WWPO4RBV,retold
0.8,0.9,0.8,308XBLVESJQ42PIEV6FT54WWPO4RBV,recalled
0.8,0.7,0.6,,imagined
0.6,0.5,0.5,,recalled
0.8,0.7,0.6,,imagined
0.8,0.7,0.6,,recalled
0.8,0.9,0.8,,imagined
0.8,0.7,0.6,30BUDKLTXEHD45W08Q4G3BXLQRX5E2,retold
0.8,0.7,0.6,30BUDKLTXEHD45W08Q4G3BXLQRX5E2,recalled
0.8,0.7,0.6,,imagined
0.7,0.6,0.5,,recalled
0.7,0.6,0.5,,imagined
0.8,0.9,0.8,30BUDKLTXEHD45W08Q4G3BXLYEXE5T,retold
0.8,0.9,0.7,30BUDKLTXEHD45W08Q4G3BXLYEXE5T,recalled
0.8,0.7,0.6,,imagined
0.8,0.9,0.8,30BUDKLTXEHD45W08Q4G3BXLZ1JE5Q,retold
0.9,0.8,0.85,30BUDKLTXEHD45W08Q4G3BXLZ1JE5Q,recalled
0.7,0.8,0.6,,imagined
0.7,0.8,0.6,30BXRYBRP5JJ1Y2MUSZVEE7B1HCWHY,retold
0.7,0.6,0.5,30BXRYBRP5JJ1Y2MUSZVEE7B1HCWHY,recalled
0.8,0.7,0.6,30BXRYBRP5JJ1Y2MUSZVEE7B3H5WHT,retold
0.8,0.7,0.7,30BXRYBRP5JJ1Y2MUSZVEE7B3H5WHT,recalled
0.5,0.4,0.5,,imagined
0.7,0.8,0.6,30BXRYBRP5JJ1Y2MUSZVEE7B9XBHWM,retold
0.8,0.9,0.85,30BXRYBRP5JJ1Y2MUSZVEE7B9XBHWM,recalled
0.7,0.6,0.7,,imagined
0.8,0.7,0.6,,imagined
0.7,0.8,0.7,30BXRYBRP5JJ1Y2MUSZVEE7BBFDHWQ,retold
0.8,0.7,0.6,30BXRYBRP5JJ1Y2MUSZVEE7BBFDHWQ,recalled
0.8,0.7,0.6,,imagined
0.8,0.9,0.8,,recalled
0.8,0.7,0.7,,imagined
0.6,0.5,0.4,,recalled
0.8,0.7,0.6,,imagined
0.8,0.9,0.7,30H4UDGLT34F936W931DEP7BXM6MP4,retold
0.9,0.8,0.9,30H4UDGLT34F936W931DEP7BXM6MP4,recalled
0.8,0.9,0.7,,imagined
0.8,0.7,0.6,,recalled
0.6,0.5,0.5,,imagined
0.9,0.8,0.85,,recalled
0.8,0.7,0.6,,imagined
0.8,0.7,0.6,,imagined
0.7,0.6,0.5,,recalled
0.8,0.7,0.7,,imagined
0.8,0.7,0.6,30IQTZXKALSNFY1G6POWA5M1WIE0XV,retold
0.9,0.8,0.8,30IQTZXKALSNFY1G6POWA5M1WIE0XV,recalled
0.8,0.7,0.6,,imagined
0.4,0.5,0.4,,recalled
0.8,0.7,0.6,,imagined
0.8,0.7,0.6,,recalled
0.7,0.6,0.5,,imagined
0.6,0.7,0.5,30JNVC0ORA6EH160IJ0PMPPPNE0HQQ,retold
0.7,0.6,0.5,30JNVC0ORA6EH160IJ0PMPPPNE0HQQ,recalled
0.8,0.7,0.6,30JNVC0ORA6EH160IJ0PMPPPOFBQHD,retold
0.8,0.7,0.6,30JNVC0ORA6EH160IJ0PMPPPOFBQHD,recalled
0.8,0.7,0.6,,imagined
0.8,0.7,0.6,30LB5CDZNDWCKT1V77CH7Q2C4JQZ07,retold
0.8,0.7,0.6,30LB5CDZNDWCKT1V77CH7Q2C4JQZ07,recalled
0.8,0.9,0.8,,imagined
0.8,0.9,0.8,30LB5CDZNDWCKT1V77CH7Q2C6ZNZ02,retold
0.9,0.8,0.85,30LB5CDZNDWCKT1V77CH7Q2C6ZNZ02,recalled
