concrete_vs_abstract,rich_vs_poor_details,specific_vs_general,story_name,type,participant
0.8,0.9,0.8,baseball,original,ORIGINAL
0.9,0.95,0.9,eyespy,original,ORIGINAL
0.9,0.8,0.85,oregontrail,original,ORIGINAL
0.9,0.8,0.85,pieman,original,ORIGINAL
0.6,0.5,0.4,baseball,recalled,P214
0.6,0.7,0.5,baseball,recalled,P172
0.7,0.8,0.7,baseball,recalled,P180
0.8,0.7,0.6,eyespy,recalled,P113
0.7,0.6,0.7,oregontrail,recalled,P152
0.5,0.4,0.5,pieman,recalled,P59
0.7,0.8,0.6,pieman,recalled,P72
0.8,0.7,0.6,baseball,recalled,P117
0.6,0.7,0.5,baseball,recalled,P118
0.6,0.5,0.5,baseball,recalled,P119
0.7,0.6,0.5,baseball,recalled,P120
0.4,0.5,0.3,baseball,recalled,P121
0.6,0.5,0.4,baseball,recalled,P122
0.3,0.2,0.4,baseball,recalled,P123
0.7,0.6,0.7,baseball,recalled,P124
0.7,0.6,0.5,baseball,recalled,P125
0.6,0.7,0.5,baseball,recalled,P126
0.6,0.5,0.7,baseball,recalled,P127
0.7,0.8,0.6,baseball,recalled,P128
0.4,0.5,0.6,baseball,recalled,P129
0.7,0.6,0.7,baseball,recalled,P130
0.8,0.7,0.6,baseball,recalled,P131
0.7,0.6,0.5,baseball,recalled,P132
0.7,0.8,0.6,baseball,recalled,P133
0.7,0.6,0.5,baseball,recalled,P134
0.4,0.5,0.4,baseball,recalled,P135
0.6,0.5,0.5,baseball,recalled,P136
0.9,0.8,0.85,eyespy,recalled,P100
0.8,0.9,0.7,eyespy,recalled,P101
0.8,0.9,0.7,eyespy,recalled,P102
0.7,0.8,0.6,eyespy,recalled,P103
0.9,0.8,0.85,eyespy,recalled,P104
0.9,0.8,0.85,eyespy,recalled,P105
0.6,0.7,0.5,eyespy,recalled,P106
0.8,0.9,0.8,eyespy,recalled,P107
0.8,0.9,0.8,eyespy,recalled,P108
0.8,0.9,0.8,eyespy,recalled,P109
0.8,0.9,0.8,eyespy,recalled,P10
0.7,0.8,0.6,eyespy,recalled,P110
0.8,0.9,0.85,eyespy,recalled,P111
0.8,0.9,0.7,eyespy,recalled,P112
0.7,0.8,0.6,eyespy,recalled,P114
0.8,0.9,0.8,eyespy,recalled,P115
0.9,0.8,0.85,eyespy,recalled,P116
0.9,0.8,0.85,eyespy,recalled,P11
0.8,0.9,0.7,eyespy,recalled,P12
0.8,0.9,0.8,oregontrail,recalled,P117
0.8,0.7,0.7,oregontrail,recalled,P118
0.7,0.6,0.5,oregontrail,recalled,P119
0.8,0.9,0.8,oregontrail,recalled,P120
0.8,0.9,0.7,oregontrail,recalled,P121
0.7,0.8,0.6,oregontrail,recalled,P122
0.4,0.3,0.5,oregontrail,recalled,P123
0.8,0.7,0.6,oregontrail,recalled,P124
0.8,0.9,0.8,oregontrail,recalled,P125
0.8,0.9,0.7,oregontrail,recalled,P126
0.8,0.7,0.6,oregontrail,recalled,P127
0.8,0.9,0.85,oregontrail,recalled,P128
0.8,0.7,0.6,oregontrail,recalled,P129
0.8,0.9,0.8,oregontrail,recalled,P130
0.9,0.8,0.9,oregontrail,recalled,P131
0.8,0.7,0.6,oregontrail,recalled,P132
0.9,0.8,0.85,oregontrail,recalled,P133
0.9,0.8,0.85,oregontrail,recalled,P134
0.7,0.6,0.5,oregontrail,recalled,P135
0.8,0.9,0.8,oregontrail,recalled,P136
0.7,0.6,0.5,pieman,recalled,P100
0.6,0.5,0.7,pieman,recalled,P101
0.4,0.5,0.4,pieman,recalled,P102
0.7,0.6,0.5,pieman,recalled,P103
0.7,0.6,0.5,pieman,recalled,P104
0.7,0.6,0.5,pieman,recalled,P105
0.6,0.5,0.4,pieman,recalled,P106
0.7,0.6,0.5,pieman,recalled,P107
0.8,0.7,0.6,pieman,recalled,P108
0.6,0.5,0.4,pieman,recalled,P109
0.4,0.5,0.4,pieman,recalled,P10
0.5,0.4,0.5,pieman,recalled,P110
0.8,0.7,0.6,pieman,recalled,P111
0.7,0.8,0.6,pieman,recalled,P112
0.7,0.8,0.6,pieman,recalled,P113
0.6,0.5,0.4,pieman,recalled,P114
0.8,0.7,0.6,pieman,recalled,P115
0.8,0.7,0.6,pieman,recalled,P116
0.8,0.7,0.6,pieman,recalled,P11
0.8,0.9,0.7,pieman,recalled,P12
0.6,0.5,0.7,baseball,recalled,P137
0.7,0.6,0.7,baseball,recalled,P138
0.6,0.5,0.5,baseball,recalled,P139
0.7,0.6,0.5,baseball,recalled,P140
0.8,0.7,0.6,baseball,recalled,P141
0.4,0.5,0.4,baseball,recalled,P142
0.4,0.3,0.4,baseball,recalled,P143
0.7,0.8,0.6,baseball,recalled,P144
0.5,0.6,0.4,baseball,recalled,P145
0.8,0.7,0.6,baseball,recalled,P146
0.5,0.4,0.6,baseball,recalled,P147
0.7,0.6,0.5,baseball,recalled,P148
0.6,0.5,0.4,baseball,recalled,P149
0.8,0.7,0.6,baseball,recalled,P150
0.5,0.4,0.6,baseball,recalled,P151
0.7,0.6,0.7,baseball,recalled,P152
0.7,0.6,0.7,baseball,recalled,P153
0.6,0.5,0.4,baseball,recalled,P154
0.7,0.6,0.5,baseball,recalled,P155
0.7,0.6,0.5,baseball,recalled,P156
0.6,0.5,0.5,baseball,recalled,P157
0.6,0.7,0.5,baseball,recalled,P158
0.7,0.6,0.5,baseball,recalled,P159
0.6,0.5,0.4,baseball,recalled,P160
0.6,0.5,0.7,baseball,recalled,P161
0.7,0.6,0.5,baseball,recalled,P162
0.5,0.4,0.5,baseball,recalled,P163
0.7,0.6,0.7,baseball,recalled,P164
0.6,0.5,0.5,baseball,recalled,P165
0.6,0.7,0.5,baseball,recalled,P166
0.7,0.6,0.5,baseball,recalled,P167
0.7,0.6,0.5,baseball,recalled,P168
0.7,0.6,0.5,baseball,recalled,P169
0.7,0.6,0.5,baseball,recalled,P170
0.7,0.6,0.5,baseball,recalled,P171
0.7,0.6,0.5,baseball,recalled,P173
0.7,0.8,0.6,baseball,recalled,P174
0.6,0.7,0.5,baseball,recalled,P175
0.7,0.6,0.5,baseball,recalled,P176
0.6,0.7,0.5,baseball,recalled,P177
0.6,0.5,0.5,baseball,recalled,P178
0.7,0.6,0.5,baseball,recalled,P179
0.7,0.8,0.6,baseball,recalled,P181
0.7,0.8,0.6,baseball,recalled,P182
0.7,0.6,0.5,baseball,recalled,P183
0.7,0.6,0.5,baseball,recalled,P184
0.6,0.5,0.5,baseball,recalled,P185
0.7,0.6,0.5,baseball,recalled,P186
0.8,0.7,0.7,baseball,recalled,P187
0.7,0.6,0.5,baseball,recalled,P188
0.6,0.5,0.5,baseball,recalled,P189
0.3,0.4,0.5,baseball,recalled,P190
0.7,0.6,0.7,baseball,recalled,P191
0.4,0.5,0.4,baseball,recalled,P192
0.8,0.7,0.6,baseball,recalled,P193
0.7,0.6,0.5,baseball,recalled,P194
0.6,0.7,0.5,baseball,recalled,P195
0.7,0.8,0.7,baseball,recalled,P196
0.6,0.7,0.5,baseball,recalled,P197
0.6,0.5,0.7,baseball,recalled,P198
0.7,0.6,0.7,baseball,recalled,P199
0.7,0.8,0.6,baseball,recalled,P200
0.8,0.7,0.6,baseball,recalled,P201
0.8,0.7,0.6,baseball,recalled,P202
0.5,0.4,0.5,baseball,recalled,P203
0.6,0.7,0.5,baseball,recalled,P204
0.7,0.6,0.5,baseball,recalled,P205
0.7,0.6,0.7,baseball,recalled,P206
0.7,0.6,0.5,baseball,recalled,P207
0.7,0.6,0.7,baseball,recalled,P208
0.7,0.8,0.6,baseball,recalled,P209
0.7,0.6,0.5,baseball,recalled,P210
0.7,0.6,0.5,baseball,recalled,P211
0.8,0.7,0.6,baseball,recalled,P212
0.7,0.6,0.5,baseball,recalled,P213
0.6,0.7,0.5,baseball,recalled,P215
0.7,0.8,0.6,baseball,recalled,P216
0.6,0.5,0.4,baseball,recalled,P217
0.7,0.8,0.6,baseball,recalled,P218
0.6,0.7,0.5,baseball,recalled,P219
0.5,0.6,0.4,baseball,recalled,P220
0.4,0.5,0.4,baseball,recalled,P221
0.7,0.8,0.6,baseball,recalled,P222
0.7,0.6,0.7,baseball,recalled,P223
0.7,0.8,0.6,baseball,recalled,P224
0.6,0.5,0.4,baseball,recalled,P225
0.6,0.7,0.5,baseball,recalled,P226
0.6,0.7,0.5,baseball,recalled,P227
0.8,0.7,0.6,baseball,recalled,P228
0.8,0.7,0.6,baseball,recalled,P229
0.9,0.8,0.85,eyespy,recalled,P13
0.9,0.8,0.85,eyespy,recalled,P14
0.9,0.9,0.8,eyespy,recalled,P15
0.8,0.9,0.8,eyespy,recalled,P16
0.6,0.7,0.5,eyespy,recalled,P17
0.7,0.8,0.6,eyespy,recalled,P18
0.7,0.6,0.5,eyespy,recalled,P19
0.8,0.9,0.7,eyespy,recalled,P1
0.8,0.9,0.8,eyespy,recalled,P20
0.8,0.7,0.6,eyespy,recalled,P21
0.7,0.8,0.6,eyespy,recalled,P22
0.8,0.9,0.7,eyespy,recalled,P23
0.8,0.9,0.8,eyespy,recalled,P24
0.7,0.6,0.5,eyespy,recalled,P25
0.8,0.9,0.7,eyespy,recalled,P26
0.8,0.9,0.8,eyespy,recalled,P27
0.7,0.6,0.5,eyespy,recalled,P28
0.8,0.9,0.8,eyespy,recalled,P29
0.8,0.9,0.8,eyespy,recalled,P2
0.8,0.7,0.6,eyespy,recalled,P30
0.8,0.9,0.8,eyespy,recalled,P31
0.8,0.9,0.8,eyespy,recalled,P32
0.8,0.9,0.7,eyespy,recalled,P33
0.8,0.9,0.7,eyespy,recalled,P34
0.8,0.7,0.6,eyespy,recalled,P35
0.8,0.9,0.8,eyespy,recalled,P36
0.9,0.8,0.85,eyespy,recalled,P37
0.9,0.95,0.9,eyespy,recalled,P38
0.8,0.9,0.8,eyespy,recalled,P39
0.6,0.5,0.4,eyespy,recalled,P3
0.5,0.6,0.4,eyespy,recalled,P40
0.8,0.9,0.7,eyespy,recalled,P41
0.8,0.9,0.7,eyespy,recalled,P42
0.9,0.8,0.85,eyespy,recalled,P43
0.6,0.8,0.7,eyespy,recalled,P44
0.8,0.7,0.6,eyespy,recalled,P45
0.8,0.9,0.7,eyespy,recalled,P46
0.9,0.8,0.85,eyespy,recalled,P47
0.7,0.6,0.5,eyespy,recalled,P48
0.8,0.9,0.7,eyespy,recalled,P49
0.8,0.9,0.7,eyespy,recalled,P4
0.9,0.8,0.7,eyespy,recalled,P50
0.9,0.8,0.85,eyespy,recalled,P51
0.9,0.8,0.85,eyespy,recalled,P52
0.8,0.9,0.8,eyespy,recalled,P53
0.9,0.8,0.9,eyespy,recalled,P54
0.8,0.9,0.7,eyespy,recalled,P55
0.8,0.9,0.8,eyespy,recalled,P56
0.8,0.9,0.7,eyespy,recalled,P57
0.8,0.9,0.8,eyespy,recalled,P58
0.8,0.9,0.7,eyespy,recalled,P59
0.9,0.8,0.85,eyespy,recalled,P5
0.8,0.9,0.7,eyespy,recalled,P60
0.7,0.8,0.6,eyespy,recalled,P61
0.9,0.8,0.85,eyespy,recalled,P62
0.8,0.9,0.8,eyespy,recalled,P63
0.8,0.9,0.7,eyespy,recalled,P64
0.7,0.6,0.5,eyespy,recalled,P65
0.8,0.9,0.8,eyespy,recalled,P66
0.8,0.7,0.6,eyespy,recalled,P67
0.8,0.7,0.6,eyespy,recalled,P68
0.8,0.7,0.6,eyespy,recalled,P69
0.6,0.7,0.5,eyespy,recalled,P6
0.7,0.8,0.6,eyespy,recalled,P70
0.9,0.8,0.85,eyespy,recalled,P71
0.8,0.9,0.8,eyespy,recalled,P72
0.9,0.8,0.85,eyespy,recalled,P73
0.8,0.9,0.8,eyespy,recalled,P74
0.9,0.8,0.85,eyespy,recalled,P75
0.9,0.8,0.85,eyespy,recalled,P76
0.8,0.9,0.7,eyespy,recalled,P77
0.8,0.9,0.8,eyespy,recalled,P78
0.8,0.9,0.7,eyespy,recalled,P79
0.7,0.8,0.6,eyespy,recalled,P7
0.8,0.9,0.7,eyespy,recalled,P80
0.8,0.9,0.7,eyespy,recalled,P81
0.8,0.9,0.8,eyespy,recalled,P82
0.7,0.6,0.5,eyespy,recalled,P83
0.8,0.9,0.8,eyespy,recalled,P84
0.8,0.9,0.7,eyespy,recalled,P85
0.7,0.6,0.5,eyespy,recalled,P86
0.8,0.9,0.8,eyespy,recalled,P87
0.8,0.9,0.8,eyespy,recalled,P88
0.8,0.9,0.7,eyespy,recalled,P89
0.8,0.9,0.7,eyespy,recalled,P8
0.8,0.7,0.6,eyespy,recalled,P90
0.7,0.8,0.6,eyespy,recalled,P91
0.8,0.7,0.6,eyespy,recalled,P92
0.8,0.9,0.8,eyespy,recalled,P93
0.9,0.8,0.85,eyespy,recalled,P94
0.9,0.8,0.9,eyespy,recalled,P95
0.8,0.9,0.8,eyespy,recalled,P96
0.8,0.7,0.6,eyespy,recalled,P97
0.9,0.8,0.85,eyespy,recalled,P98
0.8,0.7,0.6,eyespy,recalled,P99
0.8,0.9,0.7,eyespy,recalled,P9
0.8,0.7,0.6,oregontrail,recalled,P137
0.9,0.8,0.85,oregontrail,recalled,P138
0.8,0.7,0.6,oregontrail,recalled,P139
0.8,0.7,0.6,oregontrail,recalled,P140
0.8,0.9,0.8,oregontrail,recalled,P141
0.8,0.7,0.6,oregontrail,recalled,P142
0.8,0.7,0.6,oregontrail,recalled,P143
0.8,0.9,0.7,oregontrail,recalled,P144
0.8,0.7,0.6,oregontrail,recalled,P145
0.8,0.9,0.8,oregontrail,recalled,P146
0.7,0.6,0.5,oregontrail,recalled,P147
0.7,0.8,0.6,oregontrail,recalled,P148
