rank,storyid
0,67d0dd0b-4d0f-4d3f-a31d-65ae545f129a
1,0dd3e2c3-3ea4-450a-97c4-42a54c426018
2,c289a8e1-fa2a-43b5-8165-e5289b19e46d
3,b93f956f-2256-4c6d-91d2-7675dff455f0
4,865db3c4-a253-4d35-8766-25fc7e0a8cfb
5,9a66b66d-034d-495e-a60e-e22c25e0e0fa
6,ae7e744e-fd27-46c2-befb-7e8427cb679c
7,3be3719a-ae77-4106-88ea-988afb19db99
8,77338898-07d4-4143-8451-284540c8b082
9,13573c2e-5eed-40eb-bbe5-ed259b5c76a6
10,1e379d2b-69e8-485e-92ac-4c3daa41e364
11,9cfdbb5e-8208-483c-9e1d-e4ba965e9db6
12,2773b6d4-00f4-41d0-9cac-de1a205efd38
13,c2e6a18e-1cff-490a-821a-52c253ac5977
14,6be1d668-0d92-45bb-a423-bd12d00c1472
15,c71bb23b-7731-4233-8298-76ba6886cee1
16,f3643541-c339-4377-851d-144ea400d551
17,0beabab2-fb49-460e-a6e6-f35a202e3348
18,b4ed73ee-b739-4400-827c-d03ea8469bf7
19,038ac579-052e-4f5d-837a-772e98961cc0
20,271616db-90c2-4303-9c2b-64f4061ceb56
21,8d6d55d1-1123-453c-b9dc-6fcacfa72ad2
22,01d0154e-3683-4002-a392-43a35bb74d88
23,a8d6e66b-da81-4dc7-a470-67f2ab32b9e6
24,71121d19-1e7b-470b-adad-a83ec73810e3
25,f7559f25-0358-4f57-b079-dec2199b4ec3
26,d869c6d9-4a06-4d94-bf97-dc37167a5520
27,8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba
28,aab4ee80-fc00-4d9c-a127-a63b54dfd193
29,8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd
30,88fba119-ccac-4b82-881f-e609e188bebc
31,b94e1810-9869-4af6-bb74-b4a51c46f3d2
32,32aa9bd0-b498-4a63-9cd8-0d87198a5a41
33,04c164f6-da41-48a3-8aa3-eb7b650bb5f0
34,110fafd1-2bb7-4ffe-aac7-475706165d41
35,c400d38a-54fc-45da-99ed-558fcfc81016
36,bfa4ef8c-715d-4287-88a5-035611e34e40
37,8ca3cedb-510e-4454-ba08-93eaa605563b
38,ca187b8e-e77e-4d50-9b16-d508333f61a9
39,a107d361-e8a4-4cb6-8ffb-623a4c49ee1e
40,013ac572-0602-47c3-837a-82e5ac717a05
41,ba8e1ad2-ce23-4bae-8b93-9f9ab9053616
42,87da1a22-df0b-410c-b186-439700b70ba6
43,8036c905-f23e-4976-83a1-85d679b5e0c2
44,1cc75245-93bd-44cc-b076-8d1b249e1ee5
45,2ef3788f-6b2b-45c8-b6ba-71450d565e6a
46,4d7b022e-25d2-4300-a9b0-24ab35f4045b
47,c50cf35d-564d-40c9-8784-80b4fdec9d16
48,2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9
49,67c61e4a-fee7-478e-90e9-512376e2e616
50,d23de690-3089-4399-872f-f68c7144c42e
51,f77626b7-3e75-47be-8b8e-af819f53dd11
52,44b0204c-3c64-4068-a222-56d47c85eca6
53,8aefcad0-31b4-4a53-a2cb-a063a2488fc9
54,e7e5f436-db5e-4427-a7a1-5c7033a32274
55,9f0978e9-d817-4aa5-9351-7cf4e3e0576a
56,a6261762-6c9e-4967-b5f7-b628cb47666b
57,a3e0b51a-6581-4878-b0f8-2e352b7f3e27
58,2eb957f4-ab6d-4769-bdc0-81ade5e99e9e
59,bfaa7db4-d0e9-4c60-8d87-e63b280ddf1c
60,3a116df3-79c1-45a9-8caf-7f9df0d4de8f
61,d46cba64-9a1c-4dab-8cac-5b6004e9820d
62,5acf6843-7012-4dc8-99fb-7fa280e1d859
63,2fb08dcc-dfae-4f30-9838-36b248ace901
64,377f1a9e-f37a-44aa-b664-1ff8cc006777
65,c9804b55-8820-46c8-a824-9e8a4c3592cf
66,ddd8e05c-5741-4ae5-b70c-19c36bef49a7
67,7f488251-47c7-4287-b18e-265c836c0b44
68,3a7fec05-e2b2-432d-b477-395b607e07f9
69,f6f865c2-7c1c-46e0-8cb0-0e695836139a
70,b44ac366-cfbf-47a1-af4b-2a4183c3ac3b
71,87fa4a61-a9cb-4178-b7c6-18785612d926
72,6089f1f4-6127-4cf5-9eb1-9a5b067d527c
73,2cb0186e-09a0-488a-808b-0c0a96ab2db5
74,060255f7-670c-4ce2-b94d-f33b64e79f8b
75,23f7aab2-28c7-4ba3-9967-5659f7a0f734
76,5d80b089-da45-4bb3-82a2-288e5022039b
77,5a85b1c6-986d-4621-8653-01fe26a790e9
78,6cfc33f2-e807-477c-a6b7-8dd7b6a3c241
79,f55b28ed-8f72-458c-9f67-51fb1bf94866
80,ad1be785-5b12-4c83-a5ca-2a83fe9b8e0b
81,2a689633-4c69-4301-849b-c1b4c87ba8c6
82,d1bfdd8a-7613-4618-b01d-fb45e350f82a
83,0e293d6f-4504-45cc-8c5f-95802d60071c
84,072d783f-e470-432d-8900-902d76eb4f11
85,ad78450e-1c7e-4185-9750-654f2234d3d3
86,30a3277a-6958-49e2-8d07-8be8bf6129f4
