concrete_vs_abstract,rich_vs_poor_details,specific_vs_general,item_id,version
0.5,0.3,0.4,0,original
0.7,0.5,0.6,0,encoded
0.7,0.5,0.6,0,consolidated
0.2,0.1,0.3,0,imagined
0.6,0.4,0.5,1,original
0.7,0.6,0.7,1,encoded
0.7,0.5,0.6,1,consolidated
0.5,0.4,0.4,1,imagined
0.8,0.5,0.7,2,original
0.7,0.5,0.6,2,encoded
0.6,0.4,0.5,2,consolidated
0.8,0.6,0.7,2,imagined
0.6,0.4,0.5,3,original
0.7,0.4,0.5,3,encoded
0.6,0.3,0.4,3,consolidated
0.4,0.3,0.5,3,imagined
0.8,0.6,0.7,4,original
0.8,0.7,0.6,4,encoded
0.8,0.7,0.6,4,consolidated
0.7,0.6,0.5,4,imagined
0.6,0.4,0.5,5,original
0.7,0.6,0.5,5,encoded
0.8,0.6,0.7,5,consolidated
0.4,0.3,0.5,5,imagined
0.8,0.7,0.6,6,original
0.8,0.6,0.7,6,encoded
0.8,0.6,0.7,6,consolidated
0.3,0.4,0.5,6,imagined
0.7,0.5,0.6,7,original
0.7,0.5,0.6,7,encoded
0.7,0.4,0.6,7,consolidated
0.4,0.2,0.3,7,imagined
0.8,0.7,0.6,8,original
0.8,0.6,0.7,8,encoded
0.8,0.7,0.6,8,consolidated
0.8,0.7,0.6,8,imagined
0.8,0.6,0.7,9,original
0.6,0.4,0.5,9,encoded
0.7,0.5,0.6,9,consolidated
0.7,0.6,0.5,9,imagined
0.6,0.4,0.5,10,original
0.5,0.3,0.4,10,encoded
0.6,0.4,0.5,10,consolidated
0.7,0.6,0.5,10,imagined
0.6,0.4,0.5,11,original
0.6,0.4,0.5,11,encoded
0.5,0.3,0.4,11,consolidated
0.2,0.1,0.3,11,imagined
0.6,0.4,0.5,12,original
0.6,0.4,0.5,12,encoded
0.6,0.3,0.4,12,consolidated
0.5,0.4,0.5,12,imagined
0.4,0.3,0.4,13,original
0.7,0.5,0.6,13,encoded
0.5,0.3,0.4,13,consolidated
0.7,0.5,0.6,13,imagined
0.7,0.5,0.6,14,original
0.8,0.6,0.7,14,encoded
0.8,0.6,0.7,14,consolidated
0.4,0.3,0.5,14,imagined
0.5,0.4,0.5,15,original
0.7,0.5,0.6,15,encoded
0.7,0.5,0.6,15,consolidated
0.3,0.2,0.4,15,imagined
0.4,0.3,0.5,16,original
0.6,0.4,0.5,16,encoded
0.6,0.4,0.5,16,consolidated
0.6,0.4,0.5,16,imagined
0.7,0.5,0.6,17,original
0.3,0.2,0.2,17,encoded
0.3,0.2,0.2,17,consolidated
0.4,0.2,0.3,17,imagined
0.6,0.4,0.5,18,original
0.6,0.5,0.5,18,encoded
0.6,0.4,0.5,18,consolidated
0.4,0.3,0.5,18,imagined
0.7,0.6,0.5,19,original
0.7,0.5,0.6,19,encoded
0.7,0.5,0.6,19,consolidated
0.4,0.3,0.5,19,imagined
0.8,0.6,0.7,20,original
0.7,0.5,0.6,20,encoded
0.7,0.5,0.6,20,consolidated
0.5,0.4,0.4,20,imagined
0.8,0.6,0.7,21,original
