Epoch,Comparison,Cosine similarity,SEM
0,To original,0.6423899864795548,0.005365051762301586
1,To original,0.7313859520988457,0.004805596750826836
2,To original,0.7587191089242276,0.005113550065124442
3,To original,0.7689339792580233,0.005010237389976723
4,To original,0.7746098918122482,0.005063339886683383
5,To original,0.7785768463426813,0.004772097930864194
6,To original,0.7769240960153465,0.004875492901165111
7,To original,0.7803255262395253,0.004869374465662177
8,To original,0.7821982755326703,0.004722640569734829
9,To original,0.7813204618807233,0.004813533520948889
10,To original,0.780709866873949,0.004803895825796125
0,To encoded,0.6251535270073973,0.00597173631571341
1,To encoded,0.7236879212884438,0.005939874085565463
2,To encoded,0.7789194004114327,0.006927548957440823
3,To encoded,0.8153204260957485,0.007423399345497732
4,To encoded,0.829839348523508,0.007544896992541194
5,To encoded,0.8406161247561065,0.007541683151473903
6,To encoded,0.8360692875348562,0.007720964637976359
7,To encoded,0.8437096810976783,0.007587067674356786
8,To encoded,0.8453009424511224,0.007522119425641377
9,To encoded,0.8428784788547709,0.007631501264588776
10,To encoded,0.8426140929828592,0.007620424972796807
