Stage,Comparison,Cosine similarity,SEM
0,To original,0.7803330755955453,0.00484239909207522
1,To original,0.7500034058462989,0.005126920495626336
2,To original,0.7573265581362191,0.0047254388001656275
3,To original,0.7571092662449076,0.004901250798883738
4,To original,0.7556961127346336,0.005051058674680056
5,To original,0.7514385066698398,0.005186649698411045
6,To original,0.7379159084346727,0.005355659824796614
7,To original,0.7433279652474887,0.005096725845565299
8,To original,0.7378975183265997,0.0052400651581137785
0,To encoded,0.8408932734176887,0.007667665234254531
1,To encoded,0.7449853224972929,0.006010674663754199
2,To encoded,0.745097041895729,0.005712818676309831
3,To encoded,0.729599040949864,0.005972927450251765
4,To encoded,0.7297453841158594,0.005962276493106896
5,To encoded,0.7248333528066553,0.006185729182076816
6,To encoded,0.7146285246576101,0.00617601596965989
7,To encoded,0.7182297059292084,0.005793309167353877
8,To encoded,0.7140545862597539,0.005879620595838146
