Stage,Metric,Score,SEM
0,Concreteness,0.6828,0.005806526629836985
1,Concreteness,0.6742,0.005978310831731787
2,Concreteness,0.68,0.005482711030182146
3,Concreteness,0.6537999999999999,0.00578948670545371
4,Concreteness,0.6486000000000001,0.006147492442179438
5,Concreteness,0.6416000000000001,0.0059303641066020376
6,Concreteness,0.6354,0.005810439088813305
7,Concreteness,0.617,0.005643198683616017
8,Concreteness,0.609,0.006108406113750215
0,Richness,0.5297999999999999,0.0059611232146265835
1,Richness,0.4788,0.005766074507883238
2,Richness,0.5008,0.005243444232070145
3,Richness,0.4714,0.005416896300563831
4,Richness,0.4624,0.005450862666368988
5,Richness,0.45539999999999997,0.005473719321120955
6,Richness,0.45380000000000004,0.005328029259640301
7,Richness,0.451,0.005028774915852629
8,Richness,0.44139999999999996,0.005077760066662189
0,Specificity,0.5782999999999999,0.005087236967148261
1,Specificity,0.5734,0.005157332270884297
2,Specificity,0.5781000000000001,0.004880411543473288
3,Specificity,0.559,0.0050207984259146785
4,Specificity,0.5522,0.005059794763238145
5,Specificity,0.5466,0.00505053420853509
6,Specificity,0.5432,0.004955464989941215
7,Specificity,0.5372,0.004037936336759092
8,Specificity,0.5347999999999999,0.004658467843110067
