PC1,PC2,series,Point type
-0.09588484466075897,0.06423292309045792,Health,Background
-0.17949000000953674,-0.25272396206855774,Health,Background
-0.081906259059906,-0.1494201421737671,Health,Background
-0.11419552564620972,-0.21943587064743042,Health,Background
-0.20510943233966827,-0.047703132033348083,Health,Background
-0.15579403936862946,0.12259509414434433,Health,Background
-0.13046066462993622,-0.033629775047302246,Health,Background
0.009920056909322739,-0.2471887767314911,Health,Background
-0.21048027276992798,-0.09600913524627686,Health,Background
0.05533028393983841,-0.13885118067264557,Health,Background
-0.19884704053401947,-0.08861849457025528,Health,Background
0.002690384164452553,-0.21552962064743042,Health,Background
-0.03182811662554741,-0.3364841938018799,Health,Background
-0.06677539646625519,-0.22198966145515442,Health,Background
-0.17259003221988678,-0.20940375328063965,Health,Background
-0.2461347132921219,-0.15275359153747559,Health,Background
-0.06345006823539734,-0.12574052810668945,Health,Background
-0.1955760270357132,-0.02669525146484375,Health,Background
-0.0884954184293747,-0.2932479679584503,Health,Background
-0.20368117094039917,-0.13023236393928528,Health,Background
0.10552096366882324,-0.08533088117837906,Health,Background
0.11066196858882904,-0.13968691229820251,Health,Background
-0.13258357346057892,-0.15127086639404297,Health,Background
-0.0027782954275608063,-0.05801054835319519,Health,Background
-0.09882572293281555,-0.10425608605146408,Health,Background
-0.07675206661224365,-0.15631741285324097,Health,Background
0.040912073105573654,-0.0731416717171669,Health,Background
-0.0680229663848877,-0.09609311819076538,Health,Background
-0.017247192561626434,-0.14601626992225647,Health,Background
-0.08222030103206635,-0.14119082689285278,Health,Background
-0.2461347132921219,-0.15275359153747559,Health,Background
-0.08633919060230255,-0.11124592274427414,Health,Background
-0.12698738276958466,-0.28783056139945984,Health,Background
0.0564696341753006,-0.06918215751647949,Health,Background
0.017900647595524788,-0.1619768589735031,Health,Background
-0.17901678383350372,-0.15056993067264557,Health,Background
-0.1717253178358078,-0.11309295892715454,Health,Background
-0.16943645477294922,-0.12178061902523041,Health,Background
-0.12796689569950104,-0.13341835141181946,Health,Background
0.0023094434291124344,-0.09522613137960434,Health,Background
-0.019079703837633133,-0.36517295241355896,Health,Background
-0.027491658926010132,-0.04260970279574394,Health,Background
-0.1044657826423645,-0.24189510941505432,Health,Background
-0.08107100427150726,-0.10468155145645142,Health,Background
-0.04616899415850639,-0.23192960023880005,Health,Background
0.023287836462259293,-0.14151576161384583,Health,Background
-0.09286622703075409,-0.11004647612571716,Health,Background
-0.10100118815898895,-0.15925025939941406,Health,Background
-0.16622401773929596,-0.21944203972816467,Health,Background
-0.09584410488605499,-0.2084018588066101,Health,Background
0.05616466701030731,-0.07219892740249634,Health,Background
-0.17616485059261322,-0.09611015766859055,Health,Background
0.022925257682800293,-0.10796576738357544,Health,Background
-0.07594403624534607,0.011126786470413208,Health,Background
-0.17602752149105072,-0.03603595495223999,Health,Background
-0.02298467606306076,-0.29877766966819763,Health,Background
-0.039764080196619034,0.04263416677713394,Health,Background
-0.15317131578922272,-0.09133382886648178,Health,Background
-0.1410316824913025,-0.1809326410293579,Health,Background
-0.22882120311260223,0.08287843316793442,Health,Background
-0.19770152866840363,0.09890798479318619,Health,Background
-0.06347797811031342,-0.1921006739139557,Health,Background
-0.19506901502609253,-0.017458435148000717,Health,Background
0.0529375821352005,-0.10414758324623108,Health,Background
-0.12899310886859894,-0.29460594058036804,Health,Background
