Topic,series,Cosine distance,SEM
Health,Original,0.8894356132616803,0.0
Nature,Original,0.9083920848547156,0.0
Politics,Original,1.0017851715843145,0.0
Sport,Original,0.935637401751064,0.0
Universe,Original,1.1161922661886876,0.0
Health,Recalled,0.7667785056556196,0.0092930585761408
Nature,Recalled,0.8076410773267294,0.0052069847119019
Politics,Recalled,0.9360739361428864,0.0086154776512323
Sport,Recalled,0.8812582517348805,0.006020560097473
Universe,Recalled,0.9964132580719938,0.0076618958070342
