Memory stage,Value type,Cosine distance,SEM
Encoded,Mean,0.32227063370389114,0.016249697513911067
Consolidated,Mean,0.3771976225314432,0.018541175136643426
Encoded,Individual,0.26861176695262656,
Encoded,Individual,0.3507397383892369,
Encoded,Individual,0.31406770092450653,
Encoded,Individual,0.35917709348133453,
Encoded,Individual,0.2603600400793561,
Encoded,Individual,0.4105385610942722,
Encoded,Individual,0.24761827275861803,
Encoded,Individual,0.35951159475778294,
Encoded,Individual,0.3219688928714062,
Encoded,Individual,0.33011267572977143,
Consolidated,Individual,0.443638844598497,
Consolidated,Individual,0.3015886337038465,
Consolidated,Individual,0.31406770092450653,
Consolidated,Individual,0.45833711201957184,
Consolidated,Individual,0.3295613127685364,
Consolidated,Individual,0.40955362944464746,
Consolidated,Individual,0.42547236160851576,
Consolidated,Individual,0.4144915167835804,
Consolidated,Individual,0.34360766410827637,
Consolidated,Individual,0.33165744935445307,
