Error type,Story type,Value type,Proportion,95% CI
Omission errors,Incomplete,Mean,0.5024110149110148,0.05140946257895543
Omission errors,Incomplete,Individual,0.6666666666666666,
Omission errors,Incomplete,Individual,0.25,
Omission errors,Incomplete,Individual,1.0,
Omission errors,Incomplete,Individual,0.6363636363636364,
Omission errors,Incomplete,Individual,0.5,
Omission errors,Incomplete,Individual,0.3333333333333333,
Omission errors,Incomplete,Individual,0.09090909090909091,
Omission errors,Incomplete,Individual,0.5555555555555556,
Omission errors,Incomplete,Individual,0.625,
Omission errors,Incomplete,Individual,0.45454545454545453,
Omission errors,Incomplete,Individual,0.42857142857142855,
Omission errors,Incomplete,Individual,0.5,
Omission errors,Incomplete,Individual,0.6666666666666666,
Omission errors,Incomplete,Individual,0.2857142857142857,
Omission errors,Incomplete,Individual,0.5714285714285714,
Omission errors,Incomplete,Individual,0.75,
Omission errors,Incomplete,Individual,0.6666666666666666,
Omission errors,Incomplete,Individual,0.4,
Omission errors,Incomplete,Individual,0.6666666666666666,
Omission errors,Incomplete,Individual,0.8333333333333334,
Omission errors,Incomplete,Individual,0.8181818181818182,
Omission errors,Incomplete,Individual,0.3333333333333333,
Omission errors,Incomplete,Individual,0.6666666666666666,
Omission errors,Incomplete,Individual,0.5,
Omission errors,Incomplete,Individual,0.7142857142857143,
Omission errors,Incomplete,Individual,0.2857142857142857,
Omission errors,Incomplete,Individual,0.6,
Omission errors,Incomplete,Individual,0.3333333333333333,
Omission errors,Incomplete,Individual,0.36363636363636365,
Omission errors,Incomplete,Individual,0.5833333333333334,
Omission errors,Incomplete,Individual,0.0,
Omission errors,Incomplete,Individual,0.25,
Omission errors,Incomplete,Individual,0.7142857142857143,
Omission errors,Incomplete,Individual,0.45454545454545453,
Omission errors,Incomplete,Individual,0.0,
Omission errors,Incomplete,Individual,0.625,
Omission errors,Incomplete,Individual,0.45454545454545453,
Omission errors,Incomplete,Individual,0.5833333333333334,
Omission errors,Incomplete,Individual,0.42857142857142855,
Omission errors,Incomplete,Individual,0.25,
Omission errors,Incomplete,Individual,0.18181818181818182,
Omission errors,Incomplete,Individual,0.5,
Omission errors,Incomplete,Individual,0.75,
Omission errors,Incomplete,Individual,0.45454545454545453,
Omission errors,Incomplete,Individual,0.2,
Omission errors,Incomplete,Individual,0.5,
Omission errors,Incomplete,Individual,0.6666666666666666,
Omission errors,Incomplete,Individual,0.5555555555555556,
Omission errors,Incomplete,Individual,0.5454545454545454,
Omission errors,Incomplete,Individual,0.4166666666666667,
Omission errors,Incomplete,Individual,0.5714285714285714,
Omission errors,Incomplete,Individual,0.25,
Omission errors,Incomplete,Individual,1.0,
Omission errors,Incomplete,Individual,0.9,
Omission errors,Incomplete,Individual,0.45454545454545453,
Omission errors,Incomplete,Individual,0.4444444444444444,
Omission errors,Incomplete,Individual,0.8333333333333334,
Omission errors,Incomplete,Individual,0.625,
Omission errors,Incomplete,Individual,0.4,
Omission errors,Incomplete,Individual,0.6363636363636364,
Omission errors,Incomplete,Individual,0.5,
Omission errors,Incomplete,Individual,0.16666666666666666,
Omission errors,Incomplete,Individual,0.3,
Omission errors,Incomplete,Individual,0.6363636363636364,
Omission errors,Incomplete,Individual,0.875,
Omission errors,Incomplete,Individual,0.2857142857142857,
Omission errors,Incomplete,Individual,0.7142857142857143,
Omission errors,Incomplete,Individual,0.18181818181818182,
Omission errors,Incomplete,Individual,0.2222222222222222,
Omission errors,Incomplete,Individual,0.0,
Omission errors,Incomplete,Individual,0.5,
Omission errors,Incomplete,Individual,0.7777777777777778,
Omission errors,Incomplete,Individual,0.8888888888888888,
Omission errors,Incomplete,Individual,0.4444444444444444,
Omission errors,Incomplete,Individual,0.16666666666666666,
Omission errors,Incomplete,Individual,0.375,
Omission errors,Incomplete,Individual,0.42857142857142855,
Omission errors,Incomplete,Individual,0.3333333333333333,
Omission errors,Incomplete,Individual,0.5714285714285714,
Omission errors,Incomplete,Individual,0.9,
Omission errors,Incomplete,Individual,0.125,
Omission errors,Incomplete,Individual,0.4166666666666667,
Omission errors,Incomplete,Individual,1.0,
Omission errors,Incomplete,Individual,0.6666666666666666,
Extension errors,Incomplete,Mean,0.2607980313337456,0.04779043889118083
Extension errors,Incomplete,Individual,0.1111111111111111,
Extension errors,Incomplete,Individual,0.125,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.16666666666666666,
Extension errors,Incomplete,Individual,0.1111111111111111,
Extension errors,Incomplete,Individual,0.45454545454545453,
Extension errors,Incomplete,Individual,0.2222222222222222,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.09090909090909091,
Extension errors,Incomplete,Individual,0.14285714285714285,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.2857142857142857,
Extension errors,Incomplete,Individual,0.2857142857142857,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.3,
