Error type,Story type,Value type,Proportion,95% CI
Omission errors,Incomplete,Mean,0.5363121005978149,0.0548711178324181
Omission errors,Incomplete,Individual,0.6363636363636364,
Omission errors,Incomplete,Individual,0.5,
Omission errors,Incomplete,Individual,0.16666666666666666,
Omission errors,Incomplete,Individual,0.5454545454545454,
Omission errors,Incomplete,Individual,0.5833333333333334,
Omission errors,Incomplete,Individual,0.16666666666666666,
Omission errors,Incomplete,Individual,0.25,
Omission errors,Incomplete,Individual,0.4166666666666667,
Omission errors,Incomplete,Individual,0.5833333333333334,
Omission errors,Incomplete,Individual,0.16666666666666666,
Omission errors,Incomplete,Individual,0.8571428571428571,
Omission errors,Incomplete,Individual,0.3333333333333333,
Omission errors,Incomplete,Individual,0.6666666666666666,
Omission errors,Incomplete,Individual,0.3333333333333333,
Omission errors,Incomplete,Individual,0.7777777777777778,
Omission errors,Incomplete,Individual,0.5,
Omission errors,Incomplete,Individual,0.3333333333333333,
Omission errors,Incomplete,Individual,0.5833333333333334,
Omission errors,Incomplete,Individual,0.5833333333333334,
Omission errors,Incomplete,Individual,0.9,
Omission errors,Incomplete,Individual,0.16666666666666666,
Omission errors,Incomplete,Individual,0.6363636363636364,
Omission errors,Incomplete,Individual,0.5833333333333334,
Omission errors,Incomplete,Individual,0.3333333333333333,
Omission errors,Incomplete,Individual,0.8571428571428571,
Omission errors,Incomplete,Individual,0.08333333333333333,
Omission errors,Incomplete,Individual,0.5454545454545454,
Omission errors,Incomplete,Individual,0.4444444444444444,
Omission errors,Incomplete,Individual,0.4166666666666667,
Omission errors,Incomplete,Individual,0.5833333333333334,
Omission errors,Incomplete,Individual,0.4,
Omission errors,Incomplete,Individual,0.5,
Omission errors,Incomplete,Individual,0.9090909090909091,
Omission errors,Incomplete,Individual,0.5833333333333334,
Omission errors,Incomplete,Individual,0.4166666666666667,
Omission errors,Incomplete,Individual,0.8333333333333334,
Omission errors,Incomplete,Individual,0.8333333333333334,
Omission errors,Incomplete,Individual,0.4166666666666667,
Omission errors,Incomplete,Individual,0.8181818181818182,
Omission errors,Incomplete,Individual,0.5833333333333334,
Omission errors,Incomplete,Individual,0.5,
Omission errors,Incomplete,Individual,0.6666666666666666,
Omission errors,Incomplete,Individual,0.8,
Omission errors,Incomplete,Individual,0.6363636363636364,
Omission errors,Incomplete,Individual,0.25,
Omission errors,Incomplete,Individual,0.5,
Omission errors,Incomplete,Individual,0.5454545454545454,
Omission errors,Incomplete,Individual,0.5454545454545454,
Omission errors,Incomplete,Individual,0.75,
Omission errors,Incomplete,Individual,0.5454545454545454,
Omission errors,Incomplete,Individual,0.75,
Omission errors,Incomplete,Individual,0.4166666666666667,
Omission errors,Incomplete,Individual,0.3333333333333333,
Omission errors,Incomplete,Individual,0.7,
Omission errors,Incomplete,Individual,0.6,
Omission errors,Incomplete,Individual,0.6666666666666666,
Extension errors,Incomplete,Mean,0.08370761183261184,0.02348324742635866
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.25,
Extension errors,Incomplete,Individual,0.08333333333333333,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.08333333333333333,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.08333333333333333,
Extension errors,Incomplete,Individual,0.08333333333333333,
Extension errors,Incomplete,Individual,0.08333333333333333,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.2222222222222222,
Extension errors,Incomplete,Individual,0.08333333333333333,
Extension errors,Incomplete,Individual,0.4166666666666667,
Extension errors,Incomplete,Individual,0.16666666666666666,
Extension errors,Incomplete,Individual,0.08333333333333333,
Extension errors,Incomplete,Individual,0.1,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.09090909090909091,
Extension errors,Incomplete,Individual,0.16666666666666666,
Extension errors,Incomplete,Individual,0.08333333333333333,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.08333333333333333,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.2222222222222222,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.16666666666666666,
Extension errors,Incomplete,Individual,0.1,
Extension errors,Incomplete,Individual,0.08333333333333333,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.08333333333333333,
Extension errors,Incomplete,Individual,0.16666666666666666,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.08333333333333333,
Extension errors,Incomplete,Individual,0.16666666666666666,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.08333333333333333,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.08333333333333333,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.18181818181818182,
Extension errors,Incomplete,Individual,0.16666666666666666,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.18181818181818182,
Extension errors,Incomplete,Individual,0.2727272727272727,
