PCA plot,Model,series,PC1,PC2,Grid x,Grid y,Node name
Combined,GPT-2,"grid position (0, 0)",0.09694950052220651,0.010635535725211243,0,0,
Combined,GPT-2,"grid position (0, 1)",0.10948112911648539,0.05618944017839857,0,1,
Combined,GPT-2,"grid position (0, 2)",0.08899651084827238,0.0016163915214609853,0,2,
Combined,GPT-2,"grid position (1, 0)",0.09329062333759007,-0.005412175185136327,1,0,
Combined,GPT-2,"grid position (1, 1)",0.10656426836476636,0.06084893366250606,1,1,
Combined,GPT-2,"grid position (1, 2)",0.05113814296067024,0.10746938256041352,1,2,
Combined,GPT-2,"grid position (2, 0)",0.05655356112175181,-0.02196130189808193,2,0,
Combined,GPT-2,"grid position (2, 1)",-0.6021714256075033,0.0005594187041232554,2,1,
Combined,GPT-2,"grid position (2, 2)",-0.13649110535268008,-0.21315466758803767,2,2,
Combined,GPT-2,"grid position (0, 0)",0.07779492198570115,-0.02412088769744735,0,0,
Combined,GPT-2,"grid position (0, 1)",0.03872182966082488,0.04853132592098328,0,1,
Combined,GPT-2,"grid position (0, 2)",0.05883842141011861,0.14108521704270746,0,2,
Combined,GPT-2,"grid position (1, 0)",0.055082930217603486,-0.08265058496975881,1,0,
Combined,GPT-2,"grid position (1, 1)",-0.5306418969784291,-0.008297358601685456,1,1,
Combined,GPT-2,"grid position (1, 2)",0.05911388975528318,0.09278829048705671,1,2,
Combined,GPT-2,"grid position (2, 0)",0.06311627590425907,-0.02976498512805423,2,0,
Combined,GPT-2,"grid position (2, 1)",0.06481293285756036,0.002409178313316547,2,1,
Combined,GPT-2,"grid position (2, 2)",0.09659956275080185,0.10626217805865582,2,2,
Combined,GPT-2,"grid position (0, 0)",0.08986506633829008,0.08873796460319772,0,0,
Combined,GPT-2,"grid position (0, 1)",0.11979060469739891,0.037310002378888575,0,1,
Combined,GPT-2,"grid position (0, 2)",0.03869975668936307,-0.07868117227712136,0,2,
Combined,GPT-2,"grid position (1, 0)",-0.47778093594858545,0.03381297673834693,1,0,
Combined,GPT-2,"grid position (1, 1)",0.09663864148453634,-0.0066802796092032945,1,1,
Combined,GPT-2,"grid position (1, 2)",0.06598058953646975,-0.11647894277467788,1,2,
Combined,GPT-2,"grid position (2, 0)",-0.0925519439385136,-0.10872966154572306,2,0,
Combined,GPT-2,"grid position (2, 1)",0.10548633063317976,0.02208263238603978,2,1,
Combined,GPT-2,"grid position (2, 2)",0.08421284893780566,-0.058362129574999755,2,2,
Combined,GPT-2,"grid position (0, 0)",0.10593854368475071,0.045732052765281646,0,0,
Combined,GPT-2,"grid position (0, 1)",0.0884365909194236,-0.002432161898698788,0,1,
Combined,GPT-2,"grid position (0, 2)",-0.05381619710184725,-0.1408683049425508,0,2,
Combined,GPT-2,"grid position (1, 0)",-0.5389727494156318,0.03930240516738475,1,0,
Combined,GPT-2,"grid position (1, 1)",0.04711628476289208,-0.05792347642085527,1,1,
Combined,GPT-2,"grid position (1, 2)",0.051885258223572754,-0.061523462583589504,1,2,
Combined,GPT-2,"grid position (2, 0)",0.07269653897741532,0.08343222068399218,2,0,
Combined,GPT-2,"grid position (2, 1)",0.08153158742620521,0.05708734273097074,2,1,
Combined,GPT-2,"grid position (2, 2)",0.09428494981267577,0.06432049579210988,2,2,
Combined,GPT-2,"grid position (0, 0)",-0.02168061158112927,-0.12425614062850217,0,0,
Combined,GPT-2,"grid position (0, 1)",0.07882449703002058,-0.021516461263155647,0,1,
Combined,GPT-2,"grid position (0, 2)",0.08337764749219213,-0.012060725610760999,0,2,
Combined,GPT-2,"grid position (1, 0)",0.06366673534948107,-0.03871010135237843,1,0,
Combined,GPT-2,"grid position (1, 1)",0.08447394284312623,0.014483785126140795,1,1,
Combined,GPT-2,"grid position (1, 2)",0.039010302217014604,-0.084966059758359,1,2,
Combined,GPT-2,"grid position (2, 0)",0.04276086313334869,-0.054280429632601886,2,0,
Combined,GPT-2,"grid position (2, 1)",0.1161109309273989,0.0758380384899504,2,1,
Combined,GPT-2,"grid position (2, 2)",-0.5752412229114935,0.041919141569086785,2,2,
Combined,GPT-2,"grid position (0, 0)",0.07586593769869948,-0.004019019578531913,0,0,
Combined,GPT-2,"grid position (0, 1)",-0.3511626111933028,0.04739668574054651,0,1,
Combined,GPT-2,"grid position (0, 2)",0.0644546454804761,-0.032850713609947214,0,2,
Combined,GPT-2,"grid position (1, 0)",0.07332664376971705,-0.024252540957431314,1,0,
Combined,GPT-2,"grid position (1, 1)",0.10221053996599644,0.0433639487217815,1,1,
Combined,GPT-2,"grid position (1, 2)",0.06899370183413664,0.06869687614665092,1,2,
Combined,GPT-2,"grid position (2, 0)",0.03665139474881799,-0.07640040636033947,2,0,
Combined,GPT-2,"grid position (2, 1)",0.05775552875575669,0.004523308881890031,2,1,
Combined,GPT-2,"grid position (2, 2)",0.048234039237153435,-0.06530905189346492,2,2,
Combined,GPT-2,"grid position (0, 0)",0.10471084483939253,0.02470636428362275,0,0,
Combined,GPT-2,"grid position (0, 1)",-0.47895029704433917,0.04852599167015249,0,1,
Combined,GPT-2,"grid position (0, 2)",0.056030294560357796,0.09507710463451803,0,2,
Combined,GPT-2,"grid position (1, 0)",0.07898760371790192,-0.0046493346476736185,1,0,
Combined,GPT-2,"grid position (1, 1)",0.06605676204340519,-0.04742292202161315,1,1,
Combined,GPT-2,"grid position (1, 2)",0.04370772443286189,-0.08875260913893561,1,2,
Combined,GPT-2,"grid position (2, 0)",0.027495776929742893,-0.10727052984639872,2,0,
Combined,GPT-2,"grid position (2, 1)",0.07579920522698408,-0.013573296304880111,2,1,
Combined,GPT-2,"grid position (2, 2)",0.04262443014226373,-0.09129818224352208,2,2,
Combined,GPT-2,"grid position (0, 0)",-0.7646431676087879,0.054048574780443163,0,0,
Combined,GPT-2,"grid position (0, 1)",-0.08312565102008397,-0.17780014813793912,0,1,
Combined,GPT-2,"grid position (0, 2)",0.010137686725983436,-0.07754119270922424,0,2,
Combined,GPT-2,"grid position (1, 0)",0.08968242256868199,0.01585232585687229,1,0,
Combined,GPT-2,"grid position (1, 1)",0.06721072797360451,-0.028217958263630556,1,1,
Combined,GPT-2,"grid position (1, 2)",0.07743296002920658,0.05939111821233221,1,2,
Combined,GPT-2,"grid position (2, 0)",0.08364807428390193,0.024287213727941293,2,0,
Combined,GPT-2,"grid position (2, 1)",0.08625649366103637,0.0052340567825789625,2,1,
Combined,GPT-2,"grid position (2, 2)",0.07553194056122933,0.03696489071501448,2,2,
