PCA plot,Model,series,PC1,PC2,Grid x,Grid y,Node name
Combined,Our model,"grid position (0, 0)",0.30866020328054483,-0.02504339534966539,0,0,
Combined,Our model,"grid position (0, 1)",0.3343537674049601,0.1784246348789514,0,1,
Combined,Our model,"grid position (0, 2)",0.06828830001702035,0.2903988317170817,0,2,
Combined,Our model,"grid position (1, 0)",0.05790334074068242,-0.20192403143587226,1,0,
Combined,Our model,"grid position (1, 1)",0.052468315353010636,-0.01518824293903572,1,1,
Combined,Our model,"grid position (1, 2)",-0.16013084252616713,0.16062596741823304,1,2,
Combined,Our model,"grid position (2, 0)",-0.043190904728423234,-0.24155878299371963,2,0,
Combined,Our model,"grid position (2, 1)",0.01259965206655424,-0.11084670317092277,2,1,
Combined,Our model,"grid position (2, 2)",0.18949047963616192,-0.21829862507920608,2,2,
Combined,Our model,"grid position (0, 0)",0.33431745903996096,0.08855783463686034,0,0,
Combined,Our model,"grid position (0, 1)",0.321668389387642,0.2505290897977884,0,1,
Combined,Our model,"grid position (0, 2)",0.008986881892836262,0.26126968904487746,0,2,
Combined,Our model,"grid position (1, 0)",0.10056944080668591,-0.11955824339584117,1,0,
Combined,Our model,"grid position (1, 1)",0.015811394725147657,-0.013284150247548508,1,1,
Combined,Our model,"grid position (1, 2)",-0.2845044514249697,0.17450939227490894,1,2,
Combined,Our model,"grid position (2, 0)",-0.06903085344850843,-0.1613164675285312,2,0,
Combined,Our model,"grid position (2, 1)",-0.10345118507269037,-0.07673566306981185,2,1,
Combined,Our model,"grid position (2, 2)",-0.43711100915865747,0.08894936199821356,2,2,
Combined,Our model,"grid position (0, 0)",0.3189085930277948,0.05189130898435522,0,0,
Combined,Our model,"grid position (0, 1)",0.27931917730752764,0.2042647315855987,0,1,
Combined,Our model,"grid position (0, 2)",0.04109983804626651,0.31029996589322345,0,2,
Combined,Our model,"grid position (1, 0)",0.056224132955766906,-0.14024450913570422,1,0,
Combined,Our model,"grid position (1, 1)",0.0039652453959530915,0.011887644095851338,1,1,
Combined,Our model,"grid position (1, 2)",-0.168330872642318,0.16345412583128724,1,2,
Combined,Our model,"grid position (2, 0)",0.20012368761860858,-0.34853066210288813,2,0,
Combined,Our model,"grid position (2, 1)",-0.10789066265180261,-0.04479972018054249,2,1,
Combined,Our model,"grid position (2, 2)",-0.3068002583218836,0.13090499807466371,2,2,
Combined,Our model,"grid position (0, 0)",0.3925478578702085,-0.02508747862144351,0,0,
Combined,Our model,"grid position (0, 1)",0.25021429147283764,0.17172468372201444,0,1,
Combined,Our model,"grid position (0, 2)",0.05669796766603092,0.2063162926985039,0,2,
Combined,Our model,"grid position (1, 0)",0.025533607389747786,-0.12661908208075262,1,0,
Combined,Our model,"grid position (1, 1)",0.05266754093673105,-0.06977446237693563,1,1,
Combined,Our model,"grid position (1, 2)",-0.1731236063916414,0.1499458966337758,1,2,
Combined,Our model,"grid position (2, 0)",-0.10284340380396642,-0.2916304207938705,2,0,
Combined,Our model,"grid position (2, 1)",-0.11245855052549902,-0.07198845000999253,2,1,
Combined,Our model,"grid position (2, 2)",-0.36703210844052675,0.1371905891183243,2,2,
Combined,Our model,"grid position (0, 0)",0.2510033445203944,-0.03192708427245725,0,0,
Combined,Our model,"grid position (0, 1)",0.29871092336598026,0.1766416757810684,0,1,
Combined,Our model,"grid position (0, 2)",0.07137405534863416,0.36989635407061233,0,2,
Combined,Our model,"grid position (1, 0)",0.02958934246708632,-0.1811736820034053,1,0,
Combined,Our model,"grid position (1, 1)",0.024754447490777313,-0.022255762429133522,1,1,
Combined,Our model,"grid position (1, 2)",-0.030432344512822868,0.02858327391001039,1,2,
Combined,Our model,"grid position (2, 0)",-0.08128587097279706,-0.26880374503237275,2,0,
