PCA plot,Model,series,PC1,PC2,Generation,Node name
Combined,Our model,Grandparent,-0.013154800298336272,0.2141913430310962,0,
Combined,Our model,Grandparent,0.2835876165776797,-0.03536459595889216,0,
Combined,Our model,Parent,-0.1506059023309556,0.051962274342463415,1,
Combined,Our model,Parent,-0.17918181015894194,0.024737544471593518,1,
Combined,Our model,Child,-0.15795538072064724,-0.09598767282964342,2,
Combined,Our model,Child,-0.15257283932308732,-0.059284457538746255,2,
Combined,Our model,Grandparent,0.23862576624234222,-0.007195183900673475,0,
Combined,Our model,Grandparent,0.19523113529875358,0.051579464149270816,0,
Combined,Our model,Parent,-0.07382882647381765,-0.05810419118296049,1,
Combined,Our model,Parent,-0.07926995770412616,-0.07271604298174957,1,
Combined,Our model,Grandparent,0.21104589653107217,-0.0013773440574605517,0,
Combined,Our model,Grandparent,0.0062137660414988355,0.18079716015048036,0,
Combined,Our model,Parent,-0.2629744920204615,0.1590474828235369,1,
Combined,Our model,Parent,-0.4044655976696549,0.30650918359683227,1,
Combined,Our model,Child,-0.04064596239131509,-0.22011278289329939,2,
Combined,Our model,Child,-0.17340167642364687,-0.06217450251154847,2,
Combined,Our model,Grandparent,0.2576509405463785,-0.020189803263372344,0,
Combined,Our model,Grandparent,0.26404665769142505,-0.029804613114283195,0,
Combined,Our model,Parent,0.011963508451326205,-0.14401277600763374,1,
Combined,Our model,Parent,-0.0037446135203253934,-0.14581784334004333,1,
Combined,Our model,Grandparent,0.022634747779044683,0.12775059261277996,0,
Combined,Our model,Grandparent,0.1627218629323376,0.07066571774289335,0,
Combined,Our model,Parent,-0.10429803073226297,-0.021428752638334034,1,
Combined,Our model,Parent,-0.28308383595602105,0.20280695242519836,1,
Combined,Our model,Child,-0.10606858718579215,-0.12507253971899734,2,
Combined,Our model,Child,-0.19431645514211776,-0.03237382915420219,2,
Combined,Our model,Grandparent,0.25964718004725457,-0.002133885120157527,0,
Combined,Our model,Grandparent,0.08200654870527868,0.09848001383419915,0,
Combined,Our model,Parent,-0.0022747137833015866,-0.132349450477845,1,
Combined,Our model,Parent,-0.10460571719801932,-0.06263015436413218,1,
Combined,Our model,Grandparent,0.2061193791389599,0.05020297482189798,0,
Combined,Our model,Grandparent,0.19751968352466212,-0.023854894765372833,0,
Combined,Our model,Parent,0.03414571617806884,-0.10710014154807863,1,
Combined,Our model,Parent,-0.07778745510776897,-0.07889496880301537,1,
Combined,Our model,Child,-0.1575068756961936,-0.08249963406254308,2,
Combined,Our model,Child,-0.088124025665442,-0.15340154015773358,2,
Combined,Our model,Grandparent,0.15805148530471033,0.0712897439520589,0,
Combined,Our model,Grandparent,0.01475133301214993,0.20606299859056992,0,
Combined,Our model,Parent,-0.04817756613045776,-0.06396225200129042,1,
Combined,Our model,Parent,-0.2536119557133905,0.15641944362715363,1,
Combined,Our model,Grandparent,0.24982446965836339,0.052307822291544716,0,
Combined,Our model,Grandparent,0.4342685042801386,0.03138332250413966,0,
Combined,Our model,Parent,-0.06634153759198688,-0.05693584358490945,1,
Combined,Our model,Parent,-0.10650771563502379,-0.03875894965904455,1,
Combined,Our model,Child,-0.18015989953075293,-0.049111875748439296,2,
Combined,Our model,Child,-0.0946943298729282,-0.1734588791042943,2,
Combined,Our model,Grandparent,0.16454559760150145,0.16004429306229645,0,
Combined,Our model,Grandparent,0.08857452598646812,0.16190380742580485,0,
Combined,Our model,Parent,-0.05702542780170461,-0.10519399956449539,1,
Combined,Our model,Parent,-0.07105120846509891,-0.08145680083511689,1,
Combined,Our model,Grandparent,0.19397729720766993,0.05518806638900934,0,
Combined,Our model,Grandparent,0.23098488690470803,0.07869027739365135,0,
Combined,Our model,Parent,-0.013434625290081399,-0.11496312035843666,1,
Combined,Our model,Parent,-0.08513501303375563,-0.07775086064432099,1,
Combined,Our model,Child,-0.17565090640460293,-0.038135877020658224,2,
Combined,Our model,Child,-0.08015669249237153,-0.16225720269397262,2,
Combined,Our model,Grandparent,0.04383869134936837,0.1546640258070986,0,
Combined,Our model,Grandparent,0.22096461781811658,0.029724905472990774,0,
Combined,Our model,Parent,-0.1879254391953711,0.09680377375069191,1,
Combined,Our model,Parent,0.04038364956212027,-0.23567959263209062,1,
Combined,Our model,Grandparent,-0.2019550201963634,0.21647312215769346,0,
Combined,Our model,Grandparent,-0.11277317652826671,0.2831689030966064,0,
Combined,Our model,Parent,-0.04469696393627112,-0.03964213788082518,1,
Combined,Our model,Parent,-0.39337600128703687,0.32334747290860344,1,
Combined,Our model,Child,-0.07044430642021988,-0.18306527044138432,2,
Combined,Our model,Child,-0.11008117660534189,-0.1367397027669347,2,
Combined,Our model,Grandparent,0.24130613405499224,0.06464617774429147,0,
Combined,Our model,Grandparent,0.2255956574396025,0.0691577089866388,0,
Combined,Our model,Parent,-0.007069753470536495,-0.11635927525511362,1,
Combined,Our model,Parent,-0.14628375953383865,0.014678100698252183,1,
Combined,Our model,Grandparent,0.17839368062044386,0.08232119690119315,0,
Combined,Our model,Grandparent,0.19906078882483813,0.0897249575233318,0,
Combined,Our model,Parent,-0.03207545375090416,-0.08977374762691777,1,
Combined,Our model,Parent,-0.09798517705839979,-0.022429790412466764,1,
Combined,Our model,Child,-0.16047694632288717,-0.08921005437422823,2,
Combined,Our model,Child,-0.09527634661544021,-0.18706819799577093,2,
Combined,Our model,Grandparent,0.1030330956174462,0.10720289059128182,0,
Combined,Our model,Grandparent,0.2909131822161295,-0.003021479652029609,0,
Combined,Our model,Parent,-0.10121373648233994,-0.027311911373500676,1,
Combined,Our model,Parent,-0.336576579501334,0.24705123446997498,1,
Combined,Our model,Grandparent,0.18704075245177415,0.05893772793057653,0,
Combined,Our model,Grandparent,0.11218664709806155,0.13337283088568982,0,
Combined,Our model,Parent,-0.0348058774525764,-0.08476882528892828,1,
Combined,Our model,Parent,-0.1169764066852267,-0.05412047590924319,1,
Combined,Our model,Child,-0.32778612130506607,0.1464770515972302,2,
Combined,Our model,Child,-0.06737854674087326,-0.19534082943698425,2,
Combined,Our model,Grandparent,0.19225019700221846,0.055723138901554975,0,
Combined,Our model,Grandparent,0.18584147608371585,0.06385543846732981,0,
Combined,Our model,Parent,-0.05852802526822076,-0.053936500685389605,1,
Combined,Our model,Parent,0.0006719639392313124,-0.1791776299989097,1,
Combined,Our model,Grandparent,0.028675830421966923,0.20753227425139928,0,
Combined,Our model,Child,-0.20472006971272727,-0.004769655112978593,2,
Combined,Our model,Child,-0.15335474954434744,-0.09336848738839403,2,
Combined,Our model,Grandparent,0.19004605026494314,0.0055570677228400315,0,
Combined,Our model,Grandparent,0.06880879172157402,0.14903548148163767,0,
Combined,Our model,Parent,-0.09265192635913606,-0.08319388146461262,1,
Combined,Our model,Parent,-0.15031453839406733,0.0003217469631073573,1,
Combined,Our model,Grandparent,0.21354328903042744,0.055404252301002245,0,
Combined,Our model,Grandparent,0.1713778381632301,0.030681809991037562,0,
Combined,Our model,Parent,-0.17120983493800213,0.07702491838943401,1,
Combined,Our model,Parent,-0.19517162809100913,0.04935028522425519,1,
Combined,Our model,Child,-0.1710774522418552,-0.07329118779830979,2,
Combined,Our model,Child,-0.060825195617649576,-0.17893259085521646,2,
Combined,Our model,Grandparent,0.2781193402422299,0.04735506358000492,0,
Combined,Our model,Grandparent,0.06385240990665864,0.1413195716121644,0,
Combined,Our model,Parent,-0.06465261768106084,-0.0914689381415338,1,
Combined,Our model,Parent,-0.005431360397433115,-0.14733260050184657,1,
Combined,Our model,Grandparent,0.16357975466352354,0.09125215995285288,0,
Combined,Our model,Grandparent,0.05680614264278011,0.21852007560000636,0,
Combined,Our model,Parent,-0.11002791782926306,-0.0003639167641952735,1,
Combined,Our model,Parent,-0.12847345787246528,-0.04778268733369826,1,
Combined,Our model,Child,-0.0556398975803024,-0.23080652058818657,2,
Combined,Our model,Child,-0.1261128865485655,-0.12034254734023705,2,
Combined,Our model,Grandparent,0.14398508034027457,0.09741295400913559,0,
Combined,Our model,Grandparent,0.20641629844935194,0.06994233725484139,0,
Combined,Our model,Parent,-0.03290762769502679,-0.11214948235582993,1,
Combined,Our model,Parent,-0.17564791219052017,0.07249142244782289,1,
Combined,Our model,Grandparent,0.19748298987165416,0.08069035676818495,0,
Combined,Our model,Grandparent,0.29664155866471514,0.0021433609681113003,0,
Combined,Our model,Parent,-0.04953396792800244,-0.09831609748828399,1,
Combined,Our model,Parent,-0.061021888735716436,-0.09770595878272592,1,
Combined,Our model,Child,-0.11716505701812817,-0.14999284961895404,2,
Combined,Our model,Child,-0.10784087581872878,-0.14974275559554287,2,
Combined,Our model,Grandparent,0.01405024858716089,0.09916484914082625,0,
Combined,Our model,Grandparent,0.2272339852020065,0.03091917323494692,0,
Combined,Our model,Parent,-0.27367323679376754,0.15780361655017,1,
Combined,Our model,Parent,-0.28865140146247326,0.18987830534369438,1,
