Model,Grid distance,Representation distance
GPT-2,1,37.12208557128906
GPT-2,1,46.84380340576172
GPT-2,1,53.48183822631836
GPT-2,1,34.789588928222656
GPT-2,1,69.21730041503906
GPT-2,1,45.43180847167969
GPT-2,1,51.80281448364258
GPT-2,1,58.062950134277344
GPT-2,1,417.1432189941406
GPT-2,1,93.173828125
GPT-2,1,408.034912109375
GPT-2,1,391.28680419921875
GPT-2,1,66.82408905029297
GPT-2,1,43.413516998291016
GPT-2,1,63.04421615600586
GPT-2,1,280.98065185546875
GPT-2,1,59.83445739746094
GPT-2,1,278.68743896484375
GPT-2,1,43.968570709228516
GPT-2,1,283.2575988769531
GPT-2,1,284.4639587402344
GPT-2,1,64.85834503173828
GPT-2,1,48.28958511352539
GPT-2,1,44.902523040771484
GPT-2,1,55.75986099243164
GPT-2,1,235.8875732421875
GPT-2,1,55.36833190917969
GPT-2,1,40.317142486572266
GPT-2,1,46.82761764526367
GPT-2,1,232.970458984375
GPT-2,1,211.63572692871094
GPT-2,1,48.48713302612305
GPT-2,1,51.29427719116211
GPT-2,1,52.77111053466797
GPT-2,1,72.02007293701172
GPT-2,1,53.13814926147461
GPT-2,1,45.656742095947266
GPT-2,1,337.1824645996094
GPT-2,1,82.19916534423828
GPT-2,1,46.97017288208008
GPT-2,1,81.82588958740234
GPT-2,1,326.6787109375
GPT-2,1,331.273193359375
GPT-2,1,35.58580017089844
GPT-2,1,49.100990295410156
GPT-2,1,55.840389251708984
GPT-2,1,51.99422836303711
GPT-2,1,41.662662506103516
GPT-2,1,60.46302795410156
GPT-2,1,58.65186309814453
GPT-2,1,53.146976470947266
GPT-2,1,51.193016052246094
GPT-2,1,59.39495849609375
GPT-2,1,49.29782485961914
GPT-2,1,43.62228012084961
GPT-2,1,55.66055679321289
GPT-2,1,50.25259780883789
GPT-2,1,389.3287353515625
GPT-2,1,58.97319412231445
GPT-2,1,402.7901611328125
GPT-2,1,151.84393310546875
GPT-2,1,51.69808578491211
GPT-2,1,150.41062927246094
GPT-2,1,156.9364471435547
GPT-2,1,55.53343963623047
GPT-2,1,43.5572509765625
GPT-2,1,44.00450897216797
GPT-2,1,48.9314079284668
GPT-2,1,49.412559509277344
GPT-2,1,71.63117980957031
GPT-2,1,50.66435241699219
GPT-2,1,60.15071487426758
GPT-2,1,250.5115966796875
GPT-2,1,50.631778717041016
GPT-2,1,249.1361083984375
GPT-2,1,244.9589080810547
GPT-2,1,62.709495544433594
GPT-2,1,50.9061164855957
GPT-2,1,52.98136901855469
GPT-2,1,46.780517578125
GPT-2,1,50.87114334106445
GPT-2,1,51.26779556274414
GPT-2,1,52.91147994995117
GPT-2,1,57.141563415527344
GPT-2,1,1952.0435791015625
GPT-2,1,1972.706298828125
GPT-2,1,58.44449234008789
GPT-2,1,63.89951705932617
GPT-2,1,57.193138122558594
GPT-2,1,51.88922882080078
GPT-2,1,57.400840759277344
GPT-2,1,55.34172439575195
GPT-2,1,50.92554473876953
GPT-2,1,55.59339904785156
GPT-2,1,47.90727996826172
GPT-2,1,45.50803756713867
GPT-2,1,55.26603698730469
GPT-2,1,48.859458923339844
GPT-2,1,79.6038589477539
GPT-2,1,61.914764404296875
GPT-2,1,61.303955078125
GPT-2,1,57.514564514160156
GPT-2,1,50.0575065612793
GPT-2,1,50.428104400634766
GPT-2,1,47.42417526245117
GPT-2,1,658.0640258789062
GPT-2,1,45.5482063293457
GPT-2,1,651.9652709960938
GPT-2,1,31.22054100036621
GPT-2,1,503.314453125
GPT-2,1,48.00310134887695
GPT-2,1,49.49757766723633
GPT-2,1,58.56161117553711
GPT-2,1,493.362060546875
GPT-2,1,489.34149169921875
GPT-2,1,46.37181091308594
GPT-2,1,48.017967224121094
GPT-2,1,51.38888931274414
GPT-2,1,66.0647201538086
GPT-2,1,48.97988510131836
GPT-2,1,56.07781219482422
GPT-2,1,52.947418212890625
GPT-2,1,59.313079833984375
GPT-2,1,53.11024856567383
GPT-2,1,249.84156799316406
GPT-2,1,48.04464340209961
GPT-2,1,41.860496520996094
GPT-2,1,249.503662109375
GPT-2,1,54.9592399597168
GPT-2,1,251.83712768554688
GPT-2,1,48.017093658447266
GPT-2,1,56.51850509643555
GPT-2,1,53.87786865234375
GPT-2,1,52.26765823364258
GPT-2,1,85.62290954589844
GPT-2,1,54.94586944580078
GPT-2,1,64.26162719726562
GPT-2,1,51.15242385864258
GPT-2,1,54.955318450927734
GPT-2,1,67.35101318359375
GPT-2,1,221.2683868408203
GPT-2,1,59.63229751586914
GPT-2,1,233.09466552734375
GPT-2,1,212.8364715576172
GPT-2,1,41.8809700012207
GPT-2,1,41.874576568603516
GPT-2,1,56.19086837768555
GPT-2,1,53.32756805419922
GPT-2,1,64.04710388183594
GPT-2,1,52.960418701171875
GPT-2,1,50.5799560546875
GPT-2,1,61.844818115234375
GPT-2,1,130.05245971679688
GPT-2,1,55.28553009033203
GPT-2,1,129.1771240234375
GPT-2,1,119.93939208984375
GPT-2,1,404.41473388671875
GPT-2,1,398.1256408691406
GPT-2,1,64.37596130371094
GPT-2,1,43.85426712036133
GPT-2,1,59.31425857543945
GPT-2,1,44.45089340209961
GPT-2,1,46.2843132019043
GPT-2,1,55.40364456176758
GPT-2,1,47.2967643737793
GPT-2,1,56.13552474975586
GPT-2,1,49.409263610839844
GPT-2,1,56.42207336425781
GPT-2,1,1308.2718505859375
GPT-2,1,1327.594482421875
GPT-2,1,72.9112319946289
GPT-2,1,58.799861907958984
GPT-2,1,47.599369049072266
GPT-2,1,43.8265266418457
GPT-2,1,43.13453674316406
GPT-2,1,57.00836944580078
GPT-2,1,44.33130645751953
GPT-2,1,50.592533111572266
GPT-2,1,44.96255111694336
GPT-2,1,49.288028717041016
GPT-2,1,53.99249267578125
GPT-2,1,49.538978576660156
GPT-2,1,68.84028625488281
GPT-2,1,49.018611907958984
GPT-2,1,53.70122146606445
GPT-2,1,47.776981353759766
GPT-2,1,64.07621002197266
GPT-2,1,43.61410140991211
GPT-2,1,45.80284118652344
GPT-2,1,254.32386779785156
GPT-2,1,60.502254486083984
GPT-2,1,259.1112060546875
GPT-2,1,51.477439880371094
GPT-2,1,59.2017822265625
GPT-2,1,45.93325424194336
GPT-2,1,56.85300827026367
GPT-2,1,49.281742095947266
GPT-2,1,63.21953582763672
GPT-2,1,61.95182418823242
GPT-2,1,60.3916130065918
GPT-2,1,196.6248779296875
GPT-2,1,54.65244674682617
GPT-2,1,199.0086212158203
GPT-2,1,197.3905487060547
GPT-2,1,202.74095153808594
GPT-2,1,197.92271423339844
GPT-2,1,43.614479064941406
GPT-2,1,42.74551010131836
GPT-2,1,54.98854064941406
GPT-2,1,60.01116943359375
GPT-2,1,49.29536819458008
GPT-2,1,56.21528625488281
GPT-2,1,56.877769470214844
GPT-2,1,51.41971206665039
GPT-2,1,50.02687454223633
GPT-2,1,62.9571647644043
GPT-2,1,34.934146881103516
GPT-2,1,52.446807861328125
GPT-2,1,39.94264221191406
GPT-2,1,59.58616256713867
GPT-2,1,660.076416015625
GPT-2,1,50.42972183227539
GPT-2,1,49.595550537109375
GPT-2,1,37.7191047668457
GPT-2,1,673.5801391601562
GPT-2,1,51.180809020996094
GPT-2,1,57.25150680541992
GPT-2,1,60.92747116088867
GPT-2,1,52.161537170410156
GPT-2,1,58.873233795166016
GPT-2,1,58.11485290527344
GPT-2,1,59.372711181640625
GPT-2,1,54.90949630737305
GPT-2,1,56.88667297363281
GPT-2,1,59.270809173583984
GPT-2,1,497.581298828125
GPT-2,1,54.78605270385742
GPT-2,1,494.1802062988281
GPT-2,1,402.3825988769531
GPT-2,1,42.88322067260742
GPT-2,1,411.5323181152344
GPT-2,1,405.44189453125
GPT-2,1,57.08943557739258
GPT-2,1,47.0351676940918
GPT-2,1,47.77950668334961
GPT-2,1,55.02155685424805
GPT-2,1,47.52560043334961
GPT-2,1,58.55303955078125
GPT-2,1,49.29418182373047
GPT-2,1,46.454898834228516
GPT-2,1,59.33942413330078
GPT-2,1,56.87606430053711
GPT-2,1,73.06690979003906
GPT-2,1,60.61002731323242
GPT-2,1,53.63661575317383
GPT-2,1,49.53757858276367
GPT-2,1,667.6099853515625
GPT-2,1,48.60087585449219
GPT-2,1,44.44240188598633
GPT-2,1,44.476409912109375
GPT-2,1,672.6483154296875
GPT-2,1,53.50088119506836
GPT-2,1,49.3783073425293
GPT-2,1,59.34931564331055
GPT-2,1,48.76490020751953
GPT-2,1,52.3599967956543
GPT-2,1,498.681396484375
GPT-2,1,56.15468978881836
GPT-2,1,47.999507904052734
GPT-2,1,496.2918395996094
GPT-2,1,64.84099578857422
GPT-2,1,498.9688720703125
GPT-2,1,62.61030197143555
GPT-2,1,62.75698471069336
GPT-2,1,393.08270263671875
GPT-2,1,49.022789001464844
GPT-2,1,383.2774353027344
GPT-2,1,385.93792724609375
GPT-2,1,64.20404052734375
GPT-2,1,48.1031494140625
GPT-2,1,41.43458938598633
GPT-2,1,50.61249923706055
GPT-2,1,50.315093994140625
GPT-2,1,57.64375305175781
GPT-2,1,45.55442428588867
GPT-2,1,45.67205047607422
GPT-2,1,65.01567077636719
GPT-2,1,265.61083984375
GPT-2,1,50.60480880737305
GPT-2,1,59.459102630615234
GPT-2,1,56.966915130615234
GPT-2,1,286.57623291015625
GPT-2,1,282.1498107910156
GPT-2,1,43.4623908996582
GPT-2,1,47.145263671875
GPT-2,1,43.03434371948242
GPT-2,1,51.75016403198242
GPT-2,1,41.23923110961914
GPT-2,1,61.36956024169922
GPT-2,1,72.21441650390625
GPT-2,1,62.258384704589844
GPT-2,1,54.20528793334961
GPT-2,1,72.96468353271484
GPT-2,1,46.550872802734375
GPT-2,1,345.18359375
GPT-2,1,43.9593620300293
GPT-2,1,46.746131896972656
GPT-2,1,45.433780670166016
GPT-2,1,334.33563232421875
GPT-2,1,49.25300216674805
GPT-2,1,58.67427062988281
GPT-2,1,50.815677642822266
GPT-2,1,55.2079963684082
GPT-2,1,56.94985580444336
GPT-2,1,56.71329116821289
GPT-2,1,56.701507568359375
GPT-2,1,52.74279022216797
GPT-2,1,46.35665512084961
GPT-2,1,203.8142852783203
GPT-2,1,45.05964660644531
GPT-2,1,197.6189422607422
GPT-2,1,202.089599609375
GPT-2,1,61.437068939208984
GPT-2,1,54.69339370727539
GPT-2,1,63.30229187011719
GPT-2,1,51.997093200683594
GPT-2,1,53.915992736816406
GPT-2,1,44.88508987426758
GPT-2,1,39.411346435546875
GPT-2,1,43.12908172607422
GPT-2,1,59.3468017578125
GPT-2,1,172.8733367919922
GPT-2,1,57.96965026855469
GPT-2,1,167.6041259765625
GPT-2,1,49.13672637939453
GPT-2,1,51.8706169128418
GPT-2,1,53.33515548706055
GPT-2,1,45.441226959228516
GPT-2,1,50.37169647216797
GPT-2,1,46.22902297973633
GPT-2,1,219.02340698242188
GPT-2,1,47.39377975463867
GPT-2,1,52.772483825683594
GPT-2,1,54.67608642578125
GPT-2,1,227.65830993652344
GPT-2,1,49.868690490722656
GPT-2,1,114.90697479248047
GPT-2,1,45.05270767211914
GPT-2,1,119.10783386230469
GPT-2,1,107.00050354003906
GPT-2,1,51.6506233215332
GPT-2,1,49.60590362548828
GPT-2,1,55.10728454589844
GPT-2,1,42.80860137939453
GPT-2,1,47.05482864379883
GPT-2,1,52.5643310546875
GPT-2,1,49.61309051513672
GPT-2,1,52.577796936035156
GPT-2,1,52.362953186035156
GPT-2,1,41.65760803222656
GPT-2,1,498.8591003417969
GPT-2,1,49.039852142333984
GPT-2,1,503.2008056640625
GPT-2,1,50.97244644165039
GPT-2,1,52.2157096862793
GPT-2,1,55.00694274902344
GPT-2,1,61.752872467041016
GPT-2,1,59.24813461303711
GPT-2,1,64.64598846435547
GPT-2,1,81.53482818603516
GPT-2,1,53.10475540161133
GPT-2,1,43.22446823120117
GPT-2,1,55.91867446899414
GPT-2,1,50.8394660949707
GPT-2,1,48.048255920410156
GPT-2,1,45.232845306396484
GPT-2,1,57.80185317993164
GPT-2,1,45.770938873291016
GPT-2,1,134.5766143798828
GPT-2,1,45.435611724853516
GPT-2,1,145.65419006347656
GPT-2,1,144.45806884765625
GPT-2,1,331.86248779296875
GPT-2,1,48.917057037353516
GPT-2,1,322.6011962890625
GPT-2,1,338.023193359375
GPT-2,1,59.878360748291016
GPT-2,1,43.824867248535156
GPT-2,1,45.53838348388672
GPT-2,1,45.20676040649414
GPT-2,1,47.170772552490234
GPT-2,1,52.94566345214844
GPT-2,1,55.00812530517578
GPT-2,1,54.31973648071289
GPT-2,1,65.43096160888672
GPT-2,1,221.62591552734375
GPT-2,1,61.59849548339844
GPT-2,1,59.26470184326172
GPT-2,1,60.02690505981445
GPT-2,1,224.02764892578125
GPT-2,1,218.50045776367188
GPT-2,1,46.29478073120117
GPT-2,1,51.9608268737793
GPT-2,1,50.195106506347656
GPT-2,1,66.09459686279297
GPT-2,1,60.524532318115234
GPT-2,1,50.47771072387695
GPT-2,1,52.03248977661133
GPT-2,1,43.00163269042969
GPT-2,1,46.973628997802734
GPT-2,1,339.5180969238281
GPT-2,1,44.30101776123047
GPT-2,1,60.74794006347656
GPT-2,1,336.80303955078125
GPT-2,1,48.33245849609375
GPT-2,1,326.3572082519531
GPT-2,1,53.60149383544922
GPT-2,1,51.25670623779297
GPT-2,1,54.09455871582031
GPT-2,1,70.16852569580078
GPT-2,1,44.86949157714844
GPT-2,1,195.64688110351562
GPT-2,1,48.35489273071289
GPT-2,1,192.16937255859375
GPT-2,1,71.14842224121094
GPT-2,1,194.8306884765625
GPT-2,1,205.5377960205078
GPT-2,1,55.934661865234375
GPT-2,1,59.636817932128906
GPT-2,1,39.8231201171875
GPT-2,1,53.38618087768555
GPT-2,1,52.00582504272461
GPT-2,1,45.457420349121094
GPT-2,1,47.37708282470703
GPT-2,1,51.63945770263672
GPT-2,1,72.78580474853516
GPT-2,1,1966.3919677734375
GPT-2,1,40.16858673095703
GPT-2,1,49.108158111572266
GPT-2,1,66.30432891845703
GPT-2,1,1986.708740234375
GPT-2,1,60.968902587890625
GPT-2,1,43.72118377685547
GPT-2,1,60.604637145996094
GPT-2,1,68.36499786376953
GPT-2,1,56.790164947509766
GPT-2,1,151.20274353027344
GPT-2,1,54.90378952026367
GPT-2,1,53.87134552001953
GPT-2,1,156.91937255859375
GPT-2,1,57.74028396606445
GPT-2,1,154.67640686035156
GPT-2,1,46.62580871582031
GPT-2,1,58.064605712890625
GPT-2,1,63.58717727661133
GPT-2,1,99.78070831298828
GPT-2,1,67.20270538330078
GPT-2,1,28.560958862304688
