Model,Grid distance,Representation distance
Our model,1,131.635009765625
Our model,1,132.01438903808594
Our model,1,161.928955078125
Our model,1,124.5558853149414
Our model,1,162.29299926757812
Our model,1,115.82787322998047
Our model,1,100.01107025146484
Our model,1,123.85578918457031
Our model,1,187.8175811767578
Our model,1,447.2352600097656
Our model,1,172.3960723876953
Our model,1,339.0660095214844
Our model,1,98.74583435058594
Our model,1,138.8006134033203
Our model,1,125.32177734375
Our model,1,200.9101104736328
Our model,1,138.87026977539062
Our model,1,120.37397003173828
Our model,1,108.1047134399414
Our model,1,217.2071990966797
Our model,1,152.01931762695312
Our model,1,108.76303100585938
Our model,1,99.93183898925781
Our model,1,149.43736267089844
Our model,1,121.51727294921875
Our model,1,147.46640014648438
Our model,1,148.53012084960938
Our model,1,123.33187103271484
Our model,1,125.53397369384766
Our model,1,107.32254028320312
Our model,1,353.2232666015625
Our model,1,129.13929748535156
Our model,1,116.88737487792969
Our model,1,108.37147521972656
Our model,1,390.7533264160156
Our model,1,164.51470947265625
Our model,1,144.4482421875
Our model,1,176.6661376953125
Our model,1,164.38742065429688
Our model,1,136.31712341308594
Our model,1,152.74020385742188
Our model,1,118.89041900634766
Our model,1,141.54296875
Our model,1,134.51197814941406
Our model,1,116.04216766357422
Our model,1,117.9808578491211
Our model,1,130.8672637939453
Our model,1,124.95225524902344
Our model,1,142.28761291503906
Our model,1,125.1134033203125
Our model,1,127.74654388427734
Our model,1,122.7417984008789
Our model,1,179.5134735107422
Our model,1,125.5060043334961
Our model,1,103.76001739501953
Our model,1,147.54302978515625
Our model,1,116.15811157226562
Our model,1,145.19667053222656
Our model,1,154.36941528320312
Our model,1,178.36965942382812
Our model,1,118.88575744628906
Our model,1,144.77304077148438
Our model,1,184.70338439941406
Our model,1,138.54238891601562
Our model,1,194.4775848388672
Our model,1,124.952392578125
Our model,1,110.76520538330078
Our model,1,133.35391235351562
Our model,1,121.39740753173828
Our model,1,214.26300048828125
Our model,1,117.95453643798828
Our model,1,144.9512176513672
Our model,1,129.5577392578125
Our model,1,133.0476837158203
Our model,1,135.35597229003906
Our model,1,122.76787567138672
Our model,1,174.95394897460938
Our model,1,127.30207824707031
Our model,1,112.77241516113281
Our model,1,151.31619262695312
Our model,1,113.20549774169922
Our model,1,105.02835083007812
Our model,1,100.72566986083984
Our model,1,162.60057067871094
Our model,1,391.6624450683594
Our model,1,529.5009155273438
Our model,1,292.8034362792969
Our model,1,290.5193176269531
Our model,1,133.0336456298828
Our model,1,122.43595123291016
Our model,1,110.78466796875
Our model,1,130.42491149902344
Our model,1,95.29948425292969
Our model,1,112.51380157470703
Our model,1,130.2469940185547
Our model,1,116.45260620117188
Our model,1,122.55803680419922
Our model,1,128.63917541503906
Our model,1,169.28024291992188
Our model,1,140.45416259765625
Our model,1,125.60072326660156
Our model,1,127.50955200195312
Our model,1,100.24541473388672
Our model,1,117.22284698486328
Our model,1,133.16331481933594
Our model,1,181.62924194335938
Our model,1,174.73097229003906
Our model,1,165.46466064453125
Our model,1,120.45567321777344
Our model,1,188.41526794433594
Our model,1,129.406005859375
Our model,1,150.8072052001953
Our model,1,175.04759216308594
Our model,1,127.07659149169922
Our model,1,157.4283905029297
Our model,1,136.3980255126953
