Model,Layer index,Pearson correlation
GPT-2,0,0.3693518263634891
GPT-2,1,0.3756508460091747
GPT-2,2,0.3805219063571125
GPT-2,3,0.322251172055435
GPT-2,4,0.03784413241258714
GPT-2,5,0.037495450953617476
GPT-2,6,0.03780767229007293
GPT-2,7,0.037956121803692205
GPT-2,8,0.03870966440118113
GPT-2,9,0.04310539490327427
GPT-2,10,0.03913114898280397
GPT-2,11,0.0382425473108955
GPT-2,12,0.040483461380471875
GPT-2,13,0.04075089921653362
GPT-2,14,0.042480051712132864
GPT-2,15,0.04508478410255041
GPT-2,16,0.04756098169385777
GPT-2,17,0.05094304780695278
GPT-2,18,0.05394165789085046
GPT-2,19,0.05860040916208656
GPT-2,20,0.06533174881889492
GPT-2,21,0.07291930364640274
GPT-2,22,0.09011273932467757
GPT-2,23,0.23519285683786212
Our model,0,0.14015653162975256
Our model,1,0.2826723842125368
Our model,2,0.2934395645177726
Our model,3,0.3620203525895241
Our model,4,0.3857835581409988
Our model,5,0.4356427304854778
Our model,6,0.4433988391908967
Our model,7,0.49807377358072824
Our model,8,0.5401704558763231
Our model,9,0.5715084219821986
Our model,10,0.5974673508125291
Our model,11,0.6499329235783852
Our model,12,0.6804686400683183
Our model,13,0.7039139241931937
Our model,14,0.7164554329156073
Our model,15,0.7241559013664688
Our model,16,0.7282727220857915
Our model,17,0.7270245251119983
Our model,18,0.7268299308415264
Our model,19,0.7220456509021767
Our model,20,0.7167505480540148
Our model,21,0.7027478176575825
Our model,22,0.6817896431349402
Our model,23,0.6403937242131066
