Model,Context length,Pearson correlation
GPT-2,5,0.0146943381591834
GPT-2,10,0.035053959253053435
GPT-2,15,0.017440956962635604
GPT-2,20,0.020903518320494516
GPT-2,25,0.011929942323763732
GPT-2,30,0.050857171077496384
GPT-2,35,0.03944283905349622
GPT-2,40,0.02059313414648006
GPT-2,45,0.031445075304334366
GPT-2,50,0.04660066349281065
Our model,5,0.22048169330195785
Our model,10,0.18029888559502372
Our model,15,0.25507523751159167
Our model,20,0.325565571227858
Our model,25,0.43729446669663435
Our model,30,0.48238452744507676
Our model,35,0.5483483471227509
Our model,40,0.570690509033998
Our model,45,0.6391299330726413
Our model,50,0.6601995796472373
